Latitude (decimal degrees):	3.156
Longitude (decimal degrees):	101.691
Elevation (m):	66
Radiation database:	PVGIS-ERA5


Slope: 0 deg. (optimum)
Azimuth: -1 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0

P: PV system power (W)
G(i): Global irradiance on the inclined plane (plane of the array) (W/m2)
H_sun: Sun height (degree)
T2m: 2-m air temperature (degree Celsius)
WS10m: 10-m total wind speed (m/s)
Int: 1 means solar radiation values are reconstructed



PVGIS (c) European Union, 2001-2026

time,P,G(i),H_sun,T2m,WS10m,Int
20230103:0830,320.59,424.35,36.37,29.12,1.24,0.0
20230103:0930,145.19,203.82,23.25,28.32,1.66,0.0
20230103:1030,23.81,48.37,9.68,27.5,0.55,0.0
20230103:1130,0.0,0.0,-4.09,26.33,0.83,0.0
20230103:1230,0.0,0.0,0.0,24.9,0.55,0.0
20230103:1330,0.0,0.0,0.0,24.33,0.34,0.0
20230103:1430,0.0,0.0,0.0,24.19,0.34,0.0
20230103:1530,0.0,0.0,0.0,24.0,0.21,0.0
20230103:1630,0.0,0.0,0.0,23.83,0.69,0.0
20230103:1730,0.0,0.0,0.0,23.69,0.62,0.0
20230103:1830,0.0,0.0,0.0,23.37,0.76,0.0
20230103:1930,0.0,0.0,0.0,23.65,0.83,0.0
20230103:2030,0.0,0.0,0.0,23.86,0.62,0.0
20230103:2130,0.0,0.0,0.0,23.54,0.9,0.0
20230103:2230,0.0,0.0,0.0,23.36,1.38,0.0
20230103:2330,5.37,16.9,1.64,23.03,1.24,0.0
20230104:0030,103.57,155.55,15.27,23.13,0.9,0.0
20230104:0130,310.13,410.65,28.71,25.23,0.69,0.0
20230104:0230,444.86,587.63,41.54,26.86,0.76,0.0
20230104:0330,488.14,649.7,53.07,28.05,0.9,0.0
20230104:0430,498.8,666.48,61.59,28.8,1.03,0.0
20230104:0530,559.34,760.01,63.95,29.34,0.9,0.0
20230104:0630,354.47,475.66,58.71,29.91,0.69,0.0
20230104:0730,298.53,393.55,48.68,28.21,1.79,0.0
20230104:0830,185.66,249.07,36.5,26.83,1.93,0.0
20230104:0930,78.46,116.61,23.37,26.56,1.1,0.0
20230104:1030,26.34,49.71,9.79,26.27,0.48,0.0
20230104:1130,0.0,0.0,-3.99,25.56,0.9,0.0
20230104:1230,0.0,0.0,0.0,25.04,0.83,0.0
20230104:1330,0.0,0.0,0.0,24.68,1.17,0.0
20230104:1430,0.0,0.0,0.0,24.33,1.45,0.0
20230104:1530,0.0,0.0,0.0,24.11,1.52,0.0
20230104:1630,0.0,0.0,0.0,23.93,1.17,0.0
20230104:1730,0.0,0.0,0.0,23.59,0.97,0.0
20230104:1830,0.0,0.0,0.0,23.11,0.97,0.0
20230104:1930,0.0,0.0,0.0,23.29,1.1,0.0
20230104:2030,0.0,0.0,0.0,23.23,0.9,0.0
20230104:2130,0.0,0.0,0.0,23.18,0.83,0.0
20230104:2230,0.0,0.0,0.0,23.0,0.83,0.0
20230104:2330,4.74,15.8,1.55,22.78,0.69,0.0
20230105:0030,115.54,171.66,15.19,23.09,0.69,0.0
20230105:0130,282.92,374.57,28.65,25.12,0.69,0.0
20230105:0230,452.69,600.77,41.5,26.63,0.55,0.0
20230105:0330,523.5,698.21,53.06,28.08,1.24,0.0
20230105:0430,547.81,733.34,61.64,29.0,1.59,0.0
20230105:0530,547.3,734.23,64.07,29.44,1.72,0.0
20230105:0630,500.47,666.91,58.86,29.44,1.66,0.0
20230105:0730,445.84,598.46,48.82,30.25,1.03,0.0
20230105:0830,329.01,437.4,36.64,30.1,1.38,0.0
20230105:0930,187.64,259.94,23.5,29.68,1.45,0.0
20230105:1030,37.7,68.98,9.91,28.82,1.66,0.0
20230105:1130,0.0,0.0,-3.89,27.49,1.93,0.0
20230105:1230,0.0,0.0,0.0,26.18,1.1,0.0
20230105:1330,0.0,0.0,0.0,25.51,0.83,0.0
20230105:1430,0.0,0.0,0.0,25.07,0.55,0.0
20230105:1530,0.0,0.0,0.0,24.83,0.55,0.0
20230105:1630,0.0,0.0,0.0,24.5,0.83,0.0
20230105:1730,0.0,0.0,0.0,24.16,1.1,0.0
20230105:1830,0.0,0.0,0.0,23.91,1.24,0.0
20230105:1930,0.0,0.0,0.0,23.67,0.9,0.0
20230105:2030,0.0,0.0,0.0,23.26,1.17,0.0
20230105:2130,0.0,0.0,0.0,23.03,1.24,0.0
20230105:2230,0.0,0.0,0.0,22.88,1.31,0.0
20230105:2330,2.78,12.15,1.46,22.66,1.38,0.0
20230106:0030,87.25,133.07,15.12,22.76,1.03,0.0
20230106:0130,214.98,286.58,28.59,24.97,0.69,0.0
20230106:0230,350.59,462.12,41.47,26.58,0.55,0.0
20230106:0330,336.64,445.28,53.06,27.59,0.48,0.0
20230106:0430,492.78,662.94,61.71,28.1,0.69,0.0
20230106:0530,427.83,570.8,64.2,28.86,0.97,0.0
20230106:0630,604.77,813.72,59.01,28.93,1.38,0.0
20230106:0730,489.72,648.27,48.97,29.86,1.86,0.0
20230106:0830,310.23,408.19,36.77,29.4,2.14,0.0
20230106:0930,178.5,246.77,23.62,28.16,2.48,0.0
20230106:1030,47.37,87.92,10.02,27.27,2.0,0.0
20230106:1130,0.0,0.0,-3.79,26.4,1.03,0.0
20230106:1230,0.0,0.0,0.0,25.73,1.17,0.0
20230106:1330,0.0,0.0,0.0,25.37,0.83,0.0
20230106:1430,0.0,0.0,0.0,25.0,0.55,0.0
20230106:1530,0.0,0.0,0.0,24.56,0.83,0.0
20230106:1630,0.0,0.0,0.0,24.14,0.9,0.0
20230106:1730,0.0,0.0,0.0,23.8,0.76,0.0
20230106:1830,0.0,0.0,0.0,23.53,0.69,0.0
20230106:1930,0.0,0.0,0.0,23.42,0.9,0.0
20230106:2030,0.0,0.0,0.0,23.33,0.83,0.0
20230106:2130,0.0,0.0,0.0,23.25,0.9,0.0
20230106:2230,0.0,0.0,0.0,23.11,0.83,0.0
20230106:2330,4.99,16.25,1.37,23.05,0.69,0.0
20230107:0030,83.0,124.54,15.04,23.23,0.41,0.0
20230107:0130,217.89,290.73,28.53,24.77,0.34,0.0
20230107:0230,327.24,427.4,41.44,25.81,1.17,0.0
20230107:0330,388.66,508.14,53.07,26.54,1.52,0.0
20230107:0430,447.97,585.58,61.77,27.23,1.79,0.0
20230107:0530,350.75,456.91,64.33,27.39,2.21,0.0
20230107:0630,555.6,734.16,59.17,27.27,1.79,0.0
20230107:0730,405.15,528.35,49.12,29.17,2.41,0.0
20230107:0830,397.81,520.11,36.91,28.84,2.62,0.0
20230107:0930,160.03,221.98,23.75,28.2,2.76,0.0
20230107:1030,37.38,69.19,10.13,27.57,2.28,0.0
20230107:1130,0.0,0.0,-3.68,26.79,1.66,0.0
20230107:1230,0.0,0.0,0.0,25.85,1.59,0.0
20230107:1330,0.0,0.0,0.0,25.23,1.24,0.0
20230107:1430,0.0,0.0,0.0,24.69,1.24,0.0
20230107:1530,0.0,0.0,0.0,24.36,0.55,0.0
20230107:1630,0.0,0.0,0.0,24.07,0.21,0.0
20230107:1730,0.0,0.0,0.0,23.9,0.48,0.0
20230107:1830,0.0,0.0,0.0,23.61,0.83,0.0
20230107:1930,0.0,0.0,0.0,23.94,0.69,0.0
20230107:2030,0.0,0.0,0.0,23.73,1.17,0.0
20230107:2130,0.0,0.0,0.0,23.17,1.03,0.0
20230107:2230,0.0,0.0,0.0,22.96,1.24,0.0
20230107:2330,0.89,8.15,1.28,23.18,0.62,0.0
20230108:0030,69.4,108.39,14.97,23.35,0.28,0.0
20230108:0130,218.44,290.21,28.48,24.1,0.55,0.0
20230108:0230,194.1,256.25,41.41,25.02,1.31,0.0
20230108:0330,362.74,469.24,53.08,25.76,1.86,0.0
20230108:0430,363.03,469.98,61.85,26.74,2.21,0.0
20230108:0530,443.79,573.18,64.47,27.13,2.62,0.0
20230108:0630,538.7,697.45,59.33,27.32,3.1,0.0
20230108:0730,512.71,666.79,49.27,28.57,2.83,0.0
20230108:0830,323.16,420.8,37.05,28.66,3.03,0.0
20230108:0930,193.42,264.57,23.87,27.59,2.83,0.0
20230108:1030,53.76,95.92,10.24,26.89,2.55,0.0
20230108:1130,0.0,0.0,-3.58,26.14,1.66,0.0
20230108:1230,0.0,0.0,0.0,25.31,1.1,0.0
20230108:1330,0.0,0.0,0.0,24.72,0.62,0.0
20230108:1430,0.0,0.0,0.0,24.49,0.41,0.0
20230108:1530,0.0,0.0,0.0,23.82,0.69,0.0
20230108:1630,0.0,0.0,0.0,23.52,0.55,0.0
20230108:1730,0.0,0.0,0.0,23.0,0.83,0.0
20230108:1830,0.0,0.0,0.0,22.78,0.97,0.0
20230108:1930,0.0,0.0,0.0,23.5,0.69,0.0
20230108:2030,0.0,0.0,0.0,23.19,0.9,0.0
20230108:2130,0.0,0.0,0.0,23.01,1.03,0.0
20230108:2230,0.0,0.0,0.0,22.92,1.1,0.0
20230108:2330,2.8,12.2,1.19,22.74,1.1,0.0
20230109:0030,68.47,105.38,14.9,22.89,0.76,0.0
20230109:0130,180.82,243.7,28.43,24.64,0.21,0.0
20230109:0230,292.64,385.63,41.38,25.96,0.41,0.0
20230109:0330,273.72,360.01,53.1,26.88,0.76,0.0
20230109:0430,445.12,590.02,61.93,27.32,0.9,0.0
20230109:0530,383.4,503.45,64.62,28.26,1.38,0.0
20230109:0630,537.17,714.75,59.5,28.57,1.59,0.0
20230109:0730,398.19,523.48,49.43,29.92,2.34,0.0
20230109:0830,328.01,431.86,37.19,29.31,2.62,0.0
20230109:0930,147.34,205.4,23.99,28.89,2.55,0.0
20230109:1030,42.08,72.11,10.36,28.12,1.72,0.0
20230109:1130,0.0,0.0,-3.49,27.12,1.45,0.0
20230109:1230,0.0,0.0,0.0,26.27,1.17,0.0
20230109:1330,0.0,0.0,0.0,25.67,0.9,0.0
20230109:1430,0.0,0.0,0.0,25.17,0.83,0.0
20230109:1530,0.0,0.0,0.0,24.58,0.9,0.0
20230109:1630,0.0,0.0,0.0,24.16,1.03,0.0
20230109:1730,0.0,0.0,0.0,23.76,1.03,0.0
20230109:1830,0.0,0.0,0.0,23.49,1.03,0.0
20230109:1930,0.0,0.0,0.0,24.25,0.69,0.0
20230109:2030,0.0,0.0,0.0,24.48,0.48,0.0
20230109:2130,0.0,0.0,0.0,24.25,0.48,0.0
20230109:2230,0.0,0.0,0.0,23.61,0.76,0.0
20230109:2330,3.23,13.05,1.11,23.16,1.03,0.0
20230110:0030,79.33,119.48,14.84,23.42,0.69,0.0
20230110:0130,212.38,283.6,28.38,24.9,0.55,0.0
20230110:0230,389.38,513.68,41.36,26.34,0.28,0.0
20230110:0330,452.94,598.43,53.12,27.52,0.76,0.0
20230110:0430,494.49,652.81,62.01,28.12,1.59,0.0
20230110:0530,411.91,538.1,64.77,28.27,2.21,0.0
20230110:0630,522.61,690.58,59.67,27.57,1.66,0.0
20230110:0730,465.97,611.73,49.59,28.61,1.93,0.0
20230110:0830,332.81,435.7,37.33,28.77,2.34,0.0
20230110:0930,209.43,285.18,24.12,27.23,2.07,0.0
20230110:1030,32.36,62.43,10.47,26.91,1.86,0.0
20230110:1130,0.0,0.0,-3.39,26.01,1.1,0.0
20230110:1230,0.0,0.0,0.0,25.37,0.83,0.0
20230110:1330,0.0,0.0,0.0,24.91,1.45,0.0
20230110:1430,0.0,0.0,0.0,24.58,1.1,0.0
20230110:1530,0.0,0.0,0.0,24.2,0.76,0.0
20230110:1630,0.0,0.0,0.0,23.72,0.97,0.0
20230110:1730,0.0,0.0,0.0,23.42,1.1,0.0
20230110:1830,0.0,0.0,0.0,23.15,1.17,0.0
20230110:1930,0.0,0.0,0.0,23.37,0.83,0.0
20230110:2030,0.0,0.0,0.0,23.0,0.83,0.0
20230110:2130,0.0,0.0,0.0,22.78,0.83,0.0
20230110:2230,0.0,0.0,0.0,22.8,0.97,0.0
20230110:2330,3.08,12.75,1.03,22.7,0.9,0.0
20230111:0030,97.19,146.73,14.77,23.04,0.83,0.0
20230111:0130,257.78,342.28,28.34,24.81,0.41,0.0
20230111:0230,361.1,472.95,41.35,26.22,0.69,0.0
20230111:0330,532.89,709.01,53.15,27.1,1.17,0.0
20230111:0430,432.44,570.06,62.1,28.07,1.52,0.0
20230111:0530,395.63,523.16,64.93,27.96,1.45,0.0
20230111:0630,550.46,731.65,59.84,27.84,1.59,0.0
20230111:0730,459.11,605.65,49.75,29.0,2.14,0.0
20230111:0830,298.46,394.83,37.47,28.54,1.66,0.0
20230111:0930,120.64,171.02,24.25,28.15,1.24,0.0
20230111:1030,23.87,46.26,10.58,27.09,0.83,0.0
20230111:1130,0.0,0.0,-3.29,25.87,0.28,0.0
20230111:1230,0.0,0.0,0.0,25.31,0.83,0.0
20230111:1330,0.0,0.0,0.0,24.81,0.9,0.0
20230111:1430,0.0,0.0,0.0,24.42,1.24,0.0
20230111:1530,0.0,0.0,0.0,24.13,1.31,0.0
20230111:1630,0.0,0.0,0.0,23.88,1.31,0.0
20230111:1730,0.0,0.0,0.0,23.56,1.24,0.0
20230111:1830,0.0,0.0,0.0,23.31,1.38,0.0
20230111:1930,0.0,0.0,0.0,23.66,0.69,0.0
20230111:2030,0.0,0.0,0.0,23.5,1.03,0.0
20230111:2130,0.0,0.0,0.0,23.33,1.31,0.0
20230111:2230,0.0,0.0,0.0,23.09,1.31,0.0
20230111:2330,2.37,11.35,0.95,22.77,1.52,0.0
20230112:0030,87.98,134.22,14.71,22.88,1.38,0.0
20230112:0130,247.95,327.76,28.3,24.67,1.03,0.0
20230112:0230,435.27,572.01,41.34,26.52,0.97,0.0
20230112:0330,549.47,738.63,53.18,28.09,0.97,0.0
20230112:0430,641.69,874.26,62.2,28.97,1.38,0.0
20230112:0530,671.5,913.87,65.1,29.58,1.93,0.0
20230112:0630,641.49,862.72,60.02,29.87,2.21,0.0
20230112:0730,488.77,645.31,49.91,30.4,2.14,0.0
20230112:0830,421.45,555.62,37.61,30.01,2.28,0.0
20230112:0930,229.78,315.52,24.37,29.68,2.14,0.0
20230112:1030,69.75,123.26,10.69,29.12,1.24,0.0
20230112:1130,0.0,0.0,-3.2,28.34,0.69,0.0
20230112:1230,0.0,0.0,0.0,27.13,0.97,0.0
20230112:1330,0.0,0.0,0.0,26.19,0.76,0.0
20230112:1430,0.0,0.0,0.0,25.41,0.83,0.0
20230112:1530,0.0,0.0,0.0,24.58,1.1,0.0
20230112:1630,0.0,0.0,0.0,24.01,1.24,0.0
20230112:1730,0.0,0.0,0.0,23.47,1.38,0.0
20230112:1830,0.0,0.0,0.0,23.23,1.31,0.0
20230112:1930,0.0,0.0,0.0,23.82,1.59,0.0
20230112:2030,0.0,0.0,0.0,23.67,1.59,0.0
20230112:2130,0.0,0.0,0.0,23.32,1.38,0.0
20230112:2230,0.0,0.0,0.0,23.15,1.31,0.0
20230112:2330,2.64,11.9,0.87,23.04,0.83,0.0
20230113:0030,82.6,128.07,14.65,23.16,0.69,0.0
20230113:0130,265.71,351.91,28.26,24.53,0.55,0.0
20230113:0230,426.35,561.46,41.33,26.37,0.55,0.0
20230113:0330,456.31,600.12,53.22,27.48,1.1,0.0
20230113:0430,512.85,676.24,62.31,28.12,1.52,0.0
20230113:0530,617.78,828.13,65.27,28.62,1.93,0.0
20230113:0630,537.82,708.35,60.21,28.95,2.28,0.0
20230113:0730,525.62,711.73,50.08,29.86,0.76,0.0
20230113:0830,387.69,517.4,37.76,30.12,0.97,0.0
20230113:0930,225.7,311.05,24.5,29.95,1.31,0.0
20230113:1030,59.73,105.53,10.8,29.34,1.72,0.0
20230113:1130,0.0,0.0,-3.1,28.19,1.79,0.0
20230113:1230,0.0,0.0,0.0,27.0,1.38,0.0
20230113:1330,0.0,0.0,0.0,26.4,0.97,0.0
20230113:1430,0.0,0.0,0.0,25.81,0.55,0.0
20230113:1530,0.0,0.0,0.0,25.21,0.83,0.0
20230113:1630,0.0,0.0,0.0,24.69,0.97,0.0
20230113:1730,0.0,0.0,0.0,24.23,1.1,0.0
20230113:1830,0.0,0.0,0.0,24.08,1.1,0.0
20230113:1930,0.0,0.0,0.0,23.95,0.9,0.0
20230113:2030,0.0,0.0,0.0,23.66,0.97,0.0
20230113:2130,0.0,0.0,0.0,23.61,0.69,0.0
20230113:2230,0.0,0.0,0.0,22.92,0.83,0.0
20230113:2330,0.67,7.6,0.79,22.5,1.03,0.0
20230114:0030,75.04,119.58,14.6,22.83,0.41,0.0
20230114:0130,224.03,298.07,28.23,24.46,0.55,0.0
20230114:0230,337.72,439.07,41.33,25.48,1.1,0.0
20230114:0330,469.19,612.21,53.26,26.36,1.59,0.0
20230114:0430,511.89,672.67,62.42,27.6,1.79,0.0
20230114:0530,572.09,760.15,65.45,28.21,1.93,0.0
20230114:0630,505.04,665.06,60.4,28.71,2.21,0.0
20230114:0730,419.57,551.19,50.24,29.82,2.28,0.0
20230114:0830,342.03,448.96,37.9,29.29,2.07,0.0
20230114:0930,176.82,244.54,24.62,28.9,1.59,0.0
20230114:1030,45.78,81.24,10.9,28.45,1.31,0.0
20230114:1130,0.0,0.0,-3.01,27.53,0.97,0.0
20230114:1230,0.0,0.0,0.0,26.47,1.79,0.0
20230114:1330,0.0,0.0,0.0,25.78,1.24,0.0
20230114:1430,0.0,0.0,0.0,25.3,1.38,0.0
20230114:1530,0.0,0.0,0.0,24.94,1.38,0.0
20230114:1630,0.0,0.0,0.0,24.41,0.69,0.0
20230114:1730,0.0,0.0,0.0,24.15,0.14,0.0
20230114:1830,0.0,0.0,0.0,23.83,0.48,0.0
20230114:1930,0.0,0.0,0.0,23.74,0.41,0.0
20230114:2030,0.0,0.0,0.0,23.54,0.28,0.0
20230114:2130,0.0,0.0,0.0,23.52,0.34,0.0
20230114:2230,0.0,0.0,0.0,23.41,0.62,0.0
20230114:2330,2.53,11.7,0.72,23.34,0.41,0.0
20230115:0030,82.42,126.56,14.55,23.66,0.34,0.0
20230115:0130,202.06,269.13,28.2,24.45,1.1,0.0
20230115:0230,422.05,546.25,41.33,25.91,1.79,0.0
20230115:0330,499.04,652.74,53.3,27.34,2.0,0.0
20230115:0430,582.94,766.41,62.54,28.14,2.69,0.0
20230115:0530,612.51,809.07,65.64,28.71,2.9,0.0
20230115:0630,416.13,541.04,60.6,28.29,3.17,0.0
20230115:0730,359.37,467.59,50.41,28.13,2.76,0.0
20230115:0830,305.38,398.2,38.05,27.3,2.48,0.0
20230115:0930,201.01,272.38,24.74,27.66,2.41,0.0
20230115:1030,49.48,85.03,11.01,27.62,2.07,0.0
20230115:1130,0.0,0.0,-2.92,26.94,1.45,0.0
20230115:1230,0.0,0.0,0.0,25.98,1.31,0.0
20230115:1330,0.0,0.0,0.0,25.27,1.38,0.0
20230115:1430,0.0,0.0,0.0,24.48,1.1,0.0
20230115:1530,0.0,0.0,0.0,23.93,1.03,0.0
20230115:1630,0.0,0.0,0.0,23.61,1.17,0.0
20230115:1730,0.0,0.0,0.0,23.31,0.97,0.0
20230115:1830,0.0,0.0,0.0,23.18,1.17,0.0
20230115:1930,0.0,0.0,0.0,24.11,0.62,0.0
20230115:2030,0.0,0.0,0.0,23.87,0.55,0.0
20230115:2130,0.0,0.0,0.0,23.45,0.83,0.0
20230115:2230,0.0,0.0,0.0,23.13,0.97,0.0
20230115:2330,2.47,11.55,0.65,22.88,1.03,0.0
20230116:0030,93.17,144.19,14.5,23.14,0.83,0.0
20230116:0130,261.34,347.11,28.17,24.96,0.55,0.0
20230116:0230,405.94,534.39,41.33,26.56,0.48,0.0
20230116:0330,512.92,682.27,53.36,27.65,0.76,0.0
20230116:0430,556.68,745.45,62.66,28.62,1.38,0.0
20230116:0530,459.2,602.0,65.83,29.35,2.07,0.0
20230116:0630,595.07,784.28,60.79,28.4,2.48,0.0
20230116:0730,490.36,647.01,50.59,29.94,1.86,0.0
20230116:0830,362.06,473.27,38.19,28.87,2.21,0.0
20230116:0930,215.1,293.49,24.87,28.35,2.0,0.0
20230116:1030,52.95,96.48,11.11,26.87,1.72,0.0
20230116:1130,0.0,0.0,-2.84,26.3,0.9,0.0
20230116:1230,0.0,0.0,0.0,25.54,0.07,0.0
20230116:1330,0.0,0.0,0.0,25.08,0.48,0.0
20230116:1430,0.0,0.0,0.0,24.51,0.76,0.0
20230116:1530,0.0,0.0,0.0,24.04,0.83,0.0
20230116:1630,0.0,0.0,0.0,23.65,1.03,0.0
20230116:1730,0.0,0.0,0.0,23.38,0.83,0.0
20230116:1830,0.0,0.0,0.0,23.31,0.76,0.0
20230116:1930,0.0,0.0,0.0,23.39,0.76,0.0
20230116:2030,0.0,0.0,0.0,23.38,0.55,0.0
20230116:2130,0.0,0.0,0.0,23.1,0.55,0.0
20230116:2230,0.0,0.0,0.0,22.68,0.97,0.0
20230116:2330,2.41,11.4,0.58,22.04,1.24,0.0
20230117:0030,106.64,160.15,14.45,22.2,1.24,0.0
20230117:0130,313.39,411.69,28.15,23.92,1.03,0.0
20230117:0230,468.11,616.18,41.34,25.68,0.76,0.0
20230117:0330,617.24,837.39,53.41,27.2,0.76,0.0
20230117:0430,698.54,970.8,62.79,28.48,0.9,0.0
20230117:0530,717.78,1002.55,66.03,29.44,1.1,0.0
20230117:0630,677.82,935.14,61.0,30.17,1.38,0.0
20230117:0730,509.74,692.42,50.76,30.68,0.62,0.0
20230117:0830,330.38,441.19,38.34,30.31,0.69,0.0
20230117:0930,210.95,290.99,24.99,29.3,1.1,0.0
20230117:1030,53.1,94.96,11.22,28.1,1.24,0.0
20230117:1130,0.0,0.0,-2.75,27.24,1.03,0.0
20230117:1230,0.0,0.0,0.0,26.37,0.83,0.0
20230117:1330,0.0,0.0,0.0,25.75,0.55,0.0
20230117:1430,0.0,0.0,0.0,25.07,0.69,0.0
20230117:1530,0.0,0.0,0.0,24.48,0.9,0.0
20230117:1630,0.0,0.0,0.0,24.03,0.97,0.0
20230117:1730,0.0,0.0,0.0,23.46,1.17,0.0
20230117:1830,0.0,0.0,0.0,22.89,1.24,0.0
20230117:1930,0.0,0.0,0.0,23.42,1.1,0.0
20230117:2030,0.0,0.0,0.0,23.16,1.24,0.0
20230117:2130,0.0,0.0,0.0,22.77,1.38,0.0
20230117:2230,0.0,0.0,0.0,22.36,1.59,0.0
20230117:2330,3.36,13.25,0.51,22.05,1.66,0.0
20230118:0030,112.82,168.91,14.4,22.16,1.52,0.0
20230118:0130,300.92,396.58,28.13,24.66,1.1,0.0
20230118:0230,472.35,623.83,41.35,26.91,1.03,0.0
20230118:0330,553.25,740.42,53.47,28.15,1.24,0.0
20230118:0430,600.02,804.86,62.92,28.89,1.86,0.0
20230118:0530,620.35,836.47,66.24,29.44,1.86,0.0
20230118:0630,543.68,734.32,61.2,29.71,1.31,0.0
20230118:0730,449.26,598.92,50.93,30.14,1.03,0.0
20230118:0830,356.97,473.56,38.48,29.78,1.1,0.0
20230118:0930,162.66,227.24,25.11,29.13,0.97,0.0
20230118:1030,51.52,95.32,11.32,28.5,0.55,0.0
20230118:1130,0.0,0.0,-2.66,27.56,0.69,0.0
20230118:1230,0.0,0.0,0.0,26.15,0.55,0.0
20230118:1330,0.0,0.0,0.0,25.79,0.07,0.0
20230118:1430,0.0,0.0,0.0,25.41,0.41,0.0
20230118:1530,0.0,0.0,0.0,24.5,0.97,0.0
20230118:1630,0.0,0.0,0.0,23.86,1.17,0.0
20230118:1730,0.0,0.0,0.0,23.39,1.17,0.0
20230118:1830,0.0,0.0,0.0,22.93,1.17,0.0
20230118:1930,0.0,0.0,0.0,22.72,1.03,0.0
20230118:2030,0.0,0.0,0.0,22.18,1.17,0.0
20230118:2130,0.0,0.0,0.0,21.77,1.31,0.0
20230118:2230,0.0,0.0,0.0,21.58,1.45,0.0
20230118:2330,2.72,12.0,0.45,21.44,1.52,0.0
